sample_id,patient_id,tissue_type,fastqscreen_id,Human,rRNA,ERCC,Mouse,EColi,Virus,Yeast,Vector,Mitoch,Multiple Genomes,No hits,fastqc_id,GC_fastqc,dup_fastqc,avg_sequence_length,total_reads_fastq_M,qualimap_bamqc_id,avg_gc,median_insert_size,qualimap_RNAseq_qc_id,mean_coverage,percentage_aligned,mapped_reads,total_reads_bam,general_error_rate,5_3_bias,reads_aligned,genomic_origin_id,Exonic,Intronic,Intergenic
FUSCCTNBC103_TT,FUSCCTNBC103,tumor,FUSCCTNBC103_R2_screen,72536,85,674,20,3,0,0,0,0,26362,320,FUSCCTNBC103_R2,46,71.98974878,139.7023249,39.878686,FUSCCTNBC103_PT.percent_bamqc,47.10788516,187,FUSCCTNBC103_PT.percent,9.7987,98.04781843,11301622,11526643,0.01,1.14,4781682,FUSCCTNBC103_PT.percent,2941767,5389059,443853
FUSCCTNBC105_TT,FUSCCTNBC105,tumor,FUSCCTNBC105_R1_screen,73703,1432,259,20,0,0,0,0,0,23816,770,FUSCCTNBC105_R1,48,52.57186499,137.2604696,34.74404,FUSCCTNBC105.percent_bamqc,57.63779593,202,FUSCCTNBC105.percent,4.8872,99.14374809,11531333,11630923,0.01,1.01,3402740,FUSCCTNBC105.percent,2218512,3302100,356962
FUSCCTNBC105_TT,FUSCCTNBC105,tumor,FUSCCTNBC105_R2_screen,73376,1611,260,23,0,0,0,0,0,23470,1260,FUSCCTNBC105_R2,48,58.13209086,137.2661922,34.74404,FUSCCTNBC105.percent_bamqc,57.63779593,202,FUSCCTNBC105.percent,4.8872,99.14374809,11531333,11630923,0.01,1.01,3402740,FUSCCTNBC105.percent,2218512,3302100,356962
FUSCCTNBC107_TT,FUSCCTNBC107,tumor,FUSCCTNBC107_R1_screen,53217,663,62,15,14,0,0,0,0,45199,830,FUSCCTNBC107_R1,51,44.93441645,132.7872093,26.605621,FUSCCTNBC107.percent_bamqc,58.79420488,205,FUSCCTNBC107.percent,9.9144,99.58529911,15592378,15657309,0.01,1.04,2610802,FUSCCTNBC107.percent,1488436,1622937,232743
FUSCCTNBC107_TT,FUSCCTNBC107,tumor,FUSCCTNBC107_R2_screen,53115,661,62,22,17,0,0,0,0,45093,1030,FUSCCTNBC107_R2,52,49.14235073,132.7885304,26.605621,FUSCCTNBC107.percent_bamqc,58.79420488,205,FUSCCTNBC107.percent,9.9144,99.58529911,15592378,15657309,0.01,1.04,2610802,FUSCCTNBC107.percent,1488436,1622937,232743
FUSCCTNBC110_TT,FUSCCTNBC110,tumor,FUSCCTNBC110_R1_screen,51488,1825,181,22,0,0,0,0,0,44334,2150,FUSCCTNBC110_R1,54,42.45763788,131.7531456,29.752035,FUSCCTNBC110.percent_bamqc,62.59464917,202,FUSCCTNBC110.percent,19.9939,99.38356505,16732219,16836002,0.01,1.05,2898963,FUSCCTNBC110.percent,1661528,1613846,314176
FUSCCTNBC110_TT,FUSCCTNBC110,tumor,FUSCCTNBC110_R2_screen,51226,1823,181,25,0,0,0,0,0,44125,2620,FUSCCTNBC110_R2,55,44.96169835,131.7650055,29.752035,FUSCCTNBC110.percent_bamqc,62.59464917,202,FUSCCTNBC110.percent,19.9939,99.38356505,16732219,16836002,0.01,1.05,2898963,FUSCCTNBC110.percent,1661528,1613846,314176
FUSCCTNBC113_PT,FUSCCTNBC113,normal,FUSCCTNBC113_PT_R1_screen,76824,201,513,5,3,0,0,0,0,22164,290,FUSCCTNBC113_PT_R1,45,74.4814546,139.3191525,48.020187,FUSCCTNBC113.percent_bamqc,45.19815849,193,FUSCCTNBC113.percent,10.1008,97.14625368,9075676,9342281,0.01,1.03,3822215,FUSCCTNBC113.percent,2434170,4148385,448658
FUSCCTNBC113_PT,FUSCCTNBC113,normal,FUSCCTNBC113_PT_R2_screen,77119,222,514,11,3,0,0,0,0,21791,340,FUSCCTNBC113_PT_R2,45,76.35699145,139.3257552,48.020187,FUSCCTNBC113.percent_bamqc,45.19815849,193,FUSCCTNBC113.percent,10.1008,97.14625368,9075676,9342281,0.01,1.03,3822215,FUSCCTNBC113.percent,2434170,4148385,448658
FUSCCTNBC113_TT,FUSCCTNBC113,tumor,FUSCCTNBC113_R1_screen,78324,23,656,6,1,0,0,0,0,20800,190,FUSCCTNBC113_R1,43,72.95559856,140.9669643,40.165916,FUSCCTNBC113_PT.percent_bamqc,48.21312283,186,FUSCCTNBC113_PT.percent,9.7499,97.81472013,11474771,11731129,0.01,1.1,4610031,FUSCCTNBC113_PT.percent,2954524,4954757,436752
