Results File Name,MAPD,ndSNPQC,ndWavinessSD,CelPairCheckStatus,Low Diploid Flag,% Aberr. Cells,TuScan Ploidy,Q3 Raw Intensity_AT,Q3 Raw Intensity_GC,AGR_AT
FUSCCTNBC212.WBC_.OSCHP,0.261801,27.965778,0.236612,Pass,No,homogeneous,2,2102,1919,0.0223597
FUSCCTNBC212_.OSCHP,0.284943,32.501467,0.0989575,Pass,No,40,3,1900,2027,0.0236842
FUSCCTNBC214_.OSCHP,0.222769,35.43897,0.0853741,Pass,No,50,3,2067,2201,0.0203193
FUSCCTNBC215_.OSCHP,0.249527,43.040858,0.13323,Pass,No,35,3,2186,1879,0.0224154
FUSCCTNBC216.WBC_.OSCHP,0.283456,22.309063,0.240011,Pass,No,homogeneous,2,2137,1353,0.0233973
FUSCCTNBC216_.OSCHP,0.216482,38.112465,0.116152,Pass,No,45,3,2219,2247,0.0207301
FUSCCTNBC218_.OSCHP,0.249975,33.489701,0.156802,Pass,No,60,3,2191,2113,0.0200822
FUSCCTNBC219_.OSCHP,0.223922,32.598338,0.106752,Pass,No,NA,NA,1850,2049,0.0248649
FUSCCTNBC220_.OSCHP,0.255313,35.845409,0.147796,Pass,No,50,4,1789,1951,0.0234768
FUSCCTNBC221_.OSCHP,0.218908,35.492567,0.101557,Pass,No,homogeneous,2,1869,2068,0.0246121
FUSCCTNBC222_.OSCHP,0.21877,41.045737,0.0854167,Pass,No,homogeneous,2,1986,1935,0.0226586
FUSCCTNBC223_.OSCHP,0.269992,34.269273,0.154477,Pass,No,NA,NA,3103,2911,0.0145021
FUSCCTNBC224_.OSCHP,0.231682,30.469686,0.11347,Pass,No,NA,NA,2127,2328,0.0230371
FUSCCTNBC225_.OSCHP,0.229653,32.746177,0.0911028,Pass,No,45,2,3278,2855,0.0167785
FUSCCTNBC226_.OSCHP,0.244082,37.478387,0.102382,Pass,No,45,1,2892,3111,0.0165975
FUSCCTNBC227_.OSCHP,0.250308,39.19822,0.0974119,Pass,No,homogeneous,2,2943,2744,0.0169895
FUSCCTNBC228_.OSCHP,0.263471,38.650505,0.119388,Pass,No,NA,NA,3040,3064,0.0167763
FUSCCTNBC229_.OSCHP,0.236827,39.939711,0.103713,Pass,No,25,4,2126,1921,0.0225776
FUSCCTNBC230_.OSCHP,0.277982,36.22719,0.172125,Pass,No,45,3,2990,2958.75,0.0173913
FUSCCTNBC232_.OSCHP,0.27234,41.093789,0.114679,Pass,No,40,3,2894,2962,0.0169316
FUSCCTNBC233_.OSCHP,0.252103,38.698028,0.120669,Pass,No,80,3,2825,3165,0.0152212
FUSCCTNBC234_.OSCHP,0.247601,36.48336,0.0929541,Pass,No,50,2,2954,2949,0.0162492
FUSCCTNBC236_.OSCHP,0.254949,42.358965,0.105409,Pass,No,40,2,3265,2913,0.0159265
FUSCCTNBC237_.OSCHP,0.270626,30.119992,0.114173,Pass,No,50,3,2819,2888,0.0159631
FUSCCTNBC238_.OSCHP,0.26219,36.548879,0.115784,Pass,No,NA,NA,3116,2761,0.0160462
FUSCCTNBC239_.OSCHP,0.263447,37.595786,0.111825,Pass,No,40,4,3204,2804,0.0159176
FUSCCTNBC240_.OSCHP,0.22243,45.037334,0.0761805,Pass,No,35,1,2512,2630,0.0167197
FUSCCTNBC243_.OSCHP,0.244053,35.37576,0.107913,Pass,No,70,2,2229,2256,0.0210857
FUSCCTNBC244_.OSCHP,0.229141,39.437359,0.100037,Pass,No,25,2,2086,2029,0.0230105
FUSCCTNBC245_.OSCHP,0.225029,42.49208,0.0757444,Pass,No,homogeneous,2,2196,2247,0.0214026
FUSCCTNBC246_.OSCHP,0.240167,37.232277,0.121671,Pass,No,50,3,2505,2267,0.0207585
FUSCCTNBC247_.OSCHP,0.215148,42.64312,0.0893182,Pass,No,homogeneous,2,2579,2241,0.0193874
FUSCCTNBC248_.OSCHP,0.257445,37.421001,0.0862189,Pass,No,homogeneous,2,2932,2792,0.0167121
FUSCCTNBC249_.OSCHP,0.250737,39.958077,0.0841502,Pass,No,NA,NA,2770.75,2860,0.016602
